timestamp_ms,used_main_memory,used_secondary_memory,cache_hits,cache_misses
5328931,8,0,438164,7
5328942,8,0,438968,7
5328952,8,0,439992,7
5328963,8,0,440762,7
5328974,8,0,441793,7
5328984,8,0,442510,7
5328995,8,0,443115,7
5329005,8,0,443881,7
5329015,8,0,444348,7
5329026,8,0,445194,7
5329036,8,0,445820,7
5329047,8,0,446787,7
5329057,8,0,447490,7
5329067,8,0,448295,7
5329078,8,0,449258,7
5329088,8,0,450248,7
5329098,8,0,451180,7
5329109,8,0,452003,7
5329119,8,0,452822,7
5329130,8,0,453321,7
5329141,8,0,454446,7
5329151,8,0,455180,7
5329162,8,0,456210,7
5329172,8,0,456773,7
5329183,8,0,457844,7
5329193,8,0,458810,7
5329204,8,0,459711,7
5329215,8,0,460710,7
5329225,8,0,461365,7
5329236,8,0,462538,7
5329246,8,0,463311,7
5329257,8,0,464384,7
5329267,8,0,465386,7
5329278,8,0,466502,7
5329288,8,0,467292,7
5329299,8,0,468189,7
5329310,8,0,468347,7
5329320,8,0,468347,7
5329331,8,0,468629,7
5329341,8,0,469787,7
5329352,8,0,470925,7
5329362,8,0,472130,7
5329373,8,0,472941,7
5329383,8,0,473969,7
5329393,8,0,475098,7
5329404,8,0,475478,7
5329415,8,0,476258,7
5329425,8,0,477128,7
5329436,8,0,478058,7
5329447,8,0,478998,7
5329458,8,0,479952,7
5329468,8,0,480785,7
5329479,8,0,481850,7
5329489,8,0,482839,7
5329499,8,0,483808,7
5329510,8,0,484589,7
5329520,8,0,485453,7
5329531,8,0,486113,7
5329542,8,0,486719,7
5329552,8,0,487710,7
5329563,8,0,488296,7
5329574,8,0,489141,7
5329584,8,0,489663,7
5329595,8,0,490581,7
5329606,8,0,491216,7
5329617,8,0,492147,7
5329627,8,0,492949,7
5329638,8,0,493547,7
5329648,8,0,494504,7
5329658,8,0,495342,7
5329669,8,0,496158,7
5329679,8,0,496949,7
5329690,8,0,498002,7
5329700,8,0,498779,7
5329711,8,0,499739,7
5329722,8,0,500429,7
5329732,8,0,501157,7
5329743,8,0,502030,7
5329753,8,0,502993,7
5329764,8,0,503918,7
5329774,8,0,505008,7
5329785,8,0,505953,7
5329795,8,0,507101,7
5329806,8,0,507991,7
5329816,8,0,508888,7
5329827,8,0,509744,7
5329837,8,0,510380,7
5329848,8,0,511358,7
5329858,8,0,512155,7
5329869,8,0,513077,7
5329879,8,0,513783,7
5329890,8,0,514967,7
5329900,8,0,515674,7
5329910,8,0,516600,7
5329921,8,0,517320,7
5329931,8,0,518442,7
5329942,8,0,519161,7
5329952,8,0,520169,7
5329963,8,0,521000,7
5329973,8,0,521879,7
5329984,8,0,522833,7
5329994,8,0,523562,7
5330005,8,0,524588,7
5330016,8,0,525610,7
5330026,8,0,526784,7
5330037,8,0,526905,7
5330047,8,0,527111,7
5330058,8,0,528002,7
5330068,8,0,528998,7
5330078,8,0,530096,7
5330089,8,0,530990,7
5330099,8,0,532229,7
5330110,8,0,532962,7
5330120,8,0,533822,7
5330130,8,0,534690,7
5330141,8,0,535681,7
5330152,8,0,536391,7
5330163,8,0,537584,7
5330173,8,0,538533,7
5330184,8,0,539572,7
5330194,8,0,540428,7
5330205,8,0,541295,7
5330216,8,0,542473,7
5330226,8,0,543452,7
5330236,8,0,544150,7
5330247,8,0,545163,7
5330258,8,0,546203,7
5330268,8,0,547327,7
5330279,8,0,548550,7
5330289,8,0,549692,7
5330300,8,0,550742,7
5330311,8,0,551680,7
5330321,8,0,552888,7
5330332,8,0,554050,7
5330343,8,0,554928,7
5330353,8,0,556037,7
5330364,8,0,557029,7
5330374,8,0,558329,7
5330385,8,0,559256,7
5330395,8,0,560480,7
5330406,8,0,561646,7
5330417,8,0,562744,7
5330428,8,0,563701,7
5330438,8,0,564768,7
5330448,8,0,565893,7
5330459,8,0,566726,7
5330470,8,0,567477,7
5330480,8,0,568215,7
5330491,8,0,568894,7
5330501,8,0,569423,7
5330512,8,0,570839,7
5330522,8,0,571541,7
5330533,8,0,571941,7
5330544,8,0,571941,7
5330555,8,0,571941,7
5330566,8,0,571941,7
5330576,8,0,571941,7
5330587,8,0,571941,7
5330598,8,0,573170,7
5330608,8,0,574245,7
5330619,8,0,575190,7
5330629,8,0,576209,7
5330640,8,0,577546,7
5330650,8,0,578575,7
5330661,8,0,579857,7
5330671,8,0,580869,7
5330682,8,0,581984,7
5330692,8,0,583245,7
5330703,8,0,583935,7
5330713,8,0,584981,7
5330724,8,0,585857,7
5330734,8,0,586924,7
5330745,8,0,587922,7
5330755,8,0,588818,7
5330766,8,0,589789,7
5330776,8,0,590985,7
5330786,8,0,592100,7
5330796,8,0,593124,7
5330807,8,0,594423,7
5330818,8,0,595575,7
5330828,8,0,596556,7
5330839,8,0,597647,7
5330849,8,0,598523,7
5330860,8,0,599591,7
5330870,8,0,600622,7
5330881,8,0,601430,7
5330891,8,0,602609,7
5330902,8,0,603261,7
5330912,8,0,604409,7
5330923,8,0,605187,7
5330934,8,0,606051,7
5330945,8,0,606457,7
5330956,8,0,606457,7
5330967,8,0,606457,7
5330978,8,0,607352,7
5330989,8,0,608597,7
5330999,8,0,609633,7
5331009,8,0,610588,7
5331020,8,0,611717,7
5331030,8,0,612730,7
5331041,8,0,613394,7
5331052,8,0,614538,7
5331063,8,0,615273,7
5331073,8,0,616239,7
5331084,8,0,617285,7
5331095,8,0,618137,7
5331105,8,0,618998,7
5331115,8,0,619985,7
5331126,8,0,621072,7
5331136,8,0,621081,7
5331146,8,0,621081,7
5331157,8,0,621865,7
5331167,8,0,622646,7
5331177,8,0,623646,7
5331188,8,0,624607,7
